보고 시작,보고 종료,광고 이름,광고 게재,통화,기여 설정,결과,결과 표시 도구,도달,빈도,결과당 비용,광고 세트 예산,광고 세트 예산 유형,지출 금액 (USD),종료,품질 순위,참여율 순위,전환율 순위,노출,"CPM(1,000회 노출당 비용) (USD)",링크 클릭,shop_clicks,CPC(링크 클릭당 비용) (USD),CTR(링크 클릭률),클릭(전체),CTR(전체),CPC(전체) (USD),랜딩 페이지 조회,랜딩 페이지 조회당 비용 (USD)
2026-03-23,2026-03-30,260220_잠재고객_리모델링고민중?_슬라이딩,active,USD,클릭 후 7일 또는 조회 후 1일,,,7,1,,캠페인 예산 사용,0,0.18,진행 중,-,-,-,7,25.714286,0,,,,0,0,,,
2026-03-23,2026-03-30,260220_잠재고객_욕실을바꾸고_이미지2,active,USD,클릭 후 7일 또는 조회 후 1일,1,actions:lead,643,1.4479,12.96,캠페인 예산 사용,0,12.96,진행 중,-,-,-,931,13.920516,37,,0.35027,3.974221,49,5.263158,0.26449,,
2026-03-23,2026-03-30,260220_잠재고객_구축아파트_영상,active,USD,클릭 후 7일 또는 조회 후 1일,37,actions:lead,6537,1.688848,4.381892,캠페인 예산 사용,0,162.13,진행 중,-,-,-,11040,14.685688,247,,0.656397,2.237319,381,3.451087,0.425538,,
2026-03-23,2026-03-30,260313_잠재고객_구축아파트_영상,inactive,USD,클릭 후 7일 또는 조회 후 1일,,,3,1,,캠페인 예산 사용,0,0.08,진행 중,-,-,-,3,26.666667,0,,,,0,0,,,
2026-03-23,2026-03-30,260313_잠재고객_구축리모델링_이미지2,active,USD,클릭 후 7일 또는 조회 후 1일,,,288,1.21875,,캠페인 예산 사용,0,4.44,진행 중,-,-,-,351,12.649573,12,,0.37,3.418803,13,3.703704,0.341538,,
