보고 시작,보고 종료,광고 이름,캠페인 이름,광고 세트 이름,광고 게재,통화,기여 설정,결과,결과 표시 도구,도달,빈도,결과당 비용,광고 세트 예산,광고 세트 예산 유형,지출 금액 (USD),종료,품질 순위,참여율 순위,전환율 순위,노출,"CPM(1,000회 노출당 비용) (USD)",링크 클릭,shop_clicks,CPC(링크 클릭당 비용) (USD),CTR(링크 클릭률),클릭(전체),CTR(전체),CPC(전체) (USD),랜딩 페이지 조회,랜딩 페이지 조회당 비용 (USD)
2026-03-30,2026-04-06,260220_잠재고객_리모델링고민중?_슬라이딩,욕실인테리어_260127_잠재고객,잠재고객_250109,inactive,USD,클릭 후 7일 또는 조회 후 1일,,,2,1,,캠페인 예산 사용,0,0.04,진행 중,-,-,-,2,20,0,,,,0,0,,,
2026-03-30,2026-04-06,260220_잠재고객_욕실을바꾸고_이미지2,욕실인테리어_260127_잠재고객,잠재고객_250109,active,USD,클릭 후 7일 또는 조회 후 1일,,,457,1.435449,,캠페인 예산 사용,0,8.48,진행 중,-,-,-,656,12.926829,20,,0.424,3.04878,27,4.115854,0.314074,,
2026-03-30,2026-04-06,260220_잠재고객_구축아파트_영상,욕실인테리어_260127_잠재고객,잠재고객_250109,active,USD,클릭 후 7일 또는 조회 후 1일,37,actions:lead,7009,1.647311,4.528108,캠페인 예산 사용,0,167.54,진행 중,-,-,-,11546,14.510653,240,,0.698083,2.078642,378,3.273861,0.443228,,
2026-03-30,2026-04-06,260313_잠재고객_구축리모델링_이미지2,욕실인테리어_260127_잠재고객,잠재고객_250313,active,USD,클릭 후 7일 또는 조회 후 1일,1,actions:lead,151,1.165563,1.86,캠페인 예산 사용,0,1.86,진행 중,-,-,-,176,10.568182,10,,0.186,5.681818,13,7.386364,0.143077,,
