보고 시작,보고 종료,광고 이름,광고 게재,통화,기여 설정,결과,결과 표시 도구,도달,빈도,결과당 비용,광고 세트 예산,광고 세트 예산 유형,지출 금액 (USD),종료,품질 순위,참여율 순위,전환율 순위,노출,"CPM(1,000회 노출당 비용) (USD)",링크 클릭,shop_clicks,CPC(링크 클릭당 비용) (USD),CTR(링크 클릭률),클릭(전체),CTR(전체),CPC(전체) (USD),랜딩 페이지 조회,랜딩 페이지 조회당 비용 (USD)
2026-03-17,2026-03-24,잠재고객_KC인증_단일이미지_이미지교체,inactive,USD,클릭 후 7일 또는 조회 후 1일,,,27,1,,캠페인 예산 사용,0,0.39,진행 중,-,-,-,27,14.444444,4,,0.0975,14.814815,3,11.111111,0.13,,
2026-03-17,2026-03-24,260220_잠재고객_욕실을바꾸고_이미지2,active,USD,클릭 후 7일 또는 조회 후 1일,2,actions:lead,1256,1.283439,13.5,캠페인 예산 사용,0,27,진행 중,-,-,-,1612,16.74938,47,,0.574468,2.915633,64,3.970223,0.421875,,
2026-03-17,2026-03-24,260220_잠재고객_평당100만원으로_이미지3,inactive,USD,클릭 후 7일 또는 조회 후 1일,,,30,1.066667,,캠페인 예산 사용,0,0.5,진행 중,-,-,-,32,15.625,0,,,,0,0,,,
2026-03-17,2026-03-24,260220_잠재고객_구축아파트_영상,active,USD,클릭 후 7일 또는 조회 후 1일,30,actions:lead,4557,1.734694,4.070667,캠페인 예산 사용,0,122.12,진행 중,-,-,-,7905,15.44845,209,,0.584306,2.643896,332,4.199874,0.367831,,
2026-03-17,2026-03-24,260313_잠재고객_구축아파트_영상,inactive,USD,클릭 후 7일 또는 조회 후 1일,1,actions:lead,68,1.147059,1.9,캠페인 예산 사용,0,1.9,진행 중,-,-,-,78,24.358974,0,,,,0,0,,,
2026-03-17,2026-03-24,260313_잠재고객_구축리모델링_이미지2,active,USD,클릭 후 7일 또는 조회 후 1일,3,actions:lead,1362,1.301028,6.72,캠페인 예산 사용,0,20.16,진행 중,-,-,-,1772,11.376975,61,,0.330492,3.442438,67,3.781038,0.300896,,
2026-03-17,2026-03-24,260313_잠재고객_평당100만원으로_이미지3,inactive,USD,클릭 후 7일 또는 조회 후 1일,,,103,1.087379,,캠페인 예산 사용,0,1.79,진행 중,-,-,-,112,15.982143,2,,0.895,1.785714,2,1.785714,0.895,,
