보고 시작,보고 종료,광고 이름,광고 게재,통화,기여 설정,결과,결과 표시 도구,도달,빈도,결과당 비용,광고 세트 예산,광고 세트 예산 유형,지출 금액 (KRW),종료,품질 순위,참여율 순위,전환율 순위,노출,"CPM(1,000회 노출당 비용) (KRW)",링크 클릭,shop_clicks,CPC(링크 클릭당 비용) (KRW),CTR(링크 클릭률),클릭(전체),CTR(전체),CPC(전체) (KRW),랜딩 페이지 조회,랜딩 페이지 조회당 비용 (KRW)
2026-03-23,2026-03-30,눈으로봐도_영상,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,6360,1.149214,,캠페인 예산 사용,0,48114,진행 중,-,-,-,7309,6582.84307,1179,,40.80916,16.130798,1283,17.553701,37.501169,1142,42.131349
2026-03-23,2026-03-30,마트카트_영상_27화장품_미친특가_2차,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,136,1.007353,,캠페인 예산 사용,0,802,진행 중,-,-,-,137,5854.014599,0,,,,0,0,,,
2026-03-23,2026-03-30,마트카트_영상_14-1_2차,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,167,1.017964,,캠페인 예산 사용,0,1057,진행 중,-,-,-,170,6217.647059,1,,1057,0.588235,1,0.588235,1057,1,1057.000000
2026-03-23,2026-03-30,주부들_롱버전_영상,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,886,1.074492,,캠페인 예산 사용,0,5357,진행 중,-,-,-,952,5627.10084,133,,40.278195,13.970588,141,14.810924,37.992908,117,45.786325
2026-03-23,2026-03-30,마트카트_영상2,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,11,1.090909,,캠페인 예산 사용,0,48,진행 중,-,-,-,12,4000,1,,48,8.333333,1,8.333333,48,1,48.000000
2026-03-23,2026-03-30,YS_묵직한_영상,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,1386,1.016595,,캠페인 예산 사용,0,13322,진행 중,-,-,-,1409,9454.932576,38,,350.578947,2.696948,44,3.122782,302.772727,38,350.578947
2026-03-23,2026-03-30,YS_지금당장_롱버전_영상,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,714,1.085434,,캠페인 예산 사용,0,4507,진행 중,-,-,-,775,5815.483871,76,,59.302632,9.806452,82,10.580645,54.963415,67,67.268657
2026-03-23,2026-03-30,YS_눈으로봐도_영상,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,6937,1.163904,,캠페인 예산 사용,0,65659,진행 중,-,-,-,8074,8132.152589,999,,65.724725,12.373049,1232,15.258856,53.294643,952,68.969538
2026-03-23,2026-03-30,YS_거기진짜_영상2,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,834,1.056355,,캠페인 예산 사용,0,6740,진행 중,-,-,-,881,7650.397276,79,,85.316456,8.967083,92,10.442679,73.26087,69,97.681159
2026-03-23,2026-03-30,YS_띠링_영상2,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,199,1.015075,,캠페인 예산 사용,0,1726,진행 중,-,-,-,202,8544.554455,12,,143.833333,5.940594,13,6.435644,132.769231,12,143.833333
2026-03-23,2026-03-30,YS_마트카트_영상_13-1최종,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,1,1,,캠페인 예산 사용,0,12,진행 중,-,-,-,1,12000,0,,,,0,0,,,
2026-03-23,2026-03-30,YS_마트카트_영상_27화장품_미친특가_2차,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,1,1,,캠페인 예산 사용,0,2,진행 중,-,-,-,1,2000,0,,,,0,0,,,
2026-03-23,2026-03-30,YS_마트카트_영상_14-1_2차,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,3,1,,캠페인 예산 사용,0,16,진행 중,-,-,-,3,5333.333333,0,,,,0,0,,,
2026-03-23,2026-03-30,YS_주부들_롱버전_영상1,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,843,1.077106,,캠페인 예산 사용,0,5510,진행 중,-,-,-,908,6068.281938,99,,55.656566,10.903084,112,12.334802,49.196429,88,62.613636
2026-03-23,2026-03-30,YS_마트카트_영상2,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,10034,1.16763,,캠페인 예산 사용,0,85522,진행 중,-,-,-,11716,7299.590304,1480,,57.785135,12.632298,1567,13.374872,54.576899,1319,64.838514
