보고 시작,보고 종료,광고 이름,광고 게재,통화,기여 설정,결과,결과 표시 도구,도달,빈도,결과당 비용,광고 세트 예산,광고 세트 예산 유형,지출 금액 (KRW),종료,품질 순위,참여율 순위,전환율 순위,노출,"CPM(1,000회 노출당 비용) (KRW)",링크 클릭,shop_clicks,CPC(링크 클릭당 비용) (KRW),CTR(링크 클릭률),클릭(전체),CTR(전체),CPC(전체) (KRW),랜딩 페이지 조회,랜딩 페이지 조회당 비용 (KRW)
2026-03-23,2026-03-30,260220_이가격에_1,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,910,1.183516,,캠페인 예산 사용,0,22307,진행 중,-,-,-,1077,20712.163417,53,,420.886792,4.921077,56,5.199629,398.339286,51,437.392157
2026-03-23,2026-03-30,260220_킹크랩가격_2,active,KRW,클릭 후 7일 또는 조회 후 1일,,,7831,1.518452,,캠페인 예산 사용,0,227188,진행 중,-,-,-,11891,19105.878395,467,,486.48394,3.92734,511,4.297368,444.594912,424,535.820755
2026-03-23,2026-03-30,260220_이가격에러시아킹크랩_3,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,0,0,,캠페인 예산 사용,0,0,진행 중,-,-,-,0,0,0,,,,0,0,,,
2026-03-23,2026-03-30,260220_가격_영상,active,KRW,클릭 후 7일 또는 조회 후 1일,,,21701,1.514078,,캠페인 예산 사용,0,594041,진행 중,-,-,-,32857,18079.587303,1162,,511.222892,3.536537,1247,3.795234,476.376103,1068,556.218165
2026-03-23,2026-03-30,엄마의 한우국_영상,active,KRW,클릭 후 7일 또는 조회 후 1일,,,7,1.142857,,캠페인 예산 사용,0,116,진행 중,-,-,-,8,14500,0,,,,0,0,,,
2026-03-23,2026-03-30,엄마의 한우국_이미지1,active,KRW,클릭 후 7일 또는 조회 후 1일,,,5035,1.476862,,캠페인 예산 사용,0,154204,진행 중,-,-,-,7436,20737.493276,172,,896.534884,2.313072,188,2.528241,820.234043,157,982.191083
2026-03-23,2026-03-30,냉장고필수템_이미지4,active,KRW,클릭 후 7일 또는 조회 후 1일,,,6982,1.302206,,캠페인 예산 사용,0,244691,진행 중,-,-,-,9092,26912.780466,217,,1127.608295,2.386714,246,2.705675,994.678862,197,1242.086294
2026-03-23,2026-03-30,실화?_이미지1,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,1659,1.340567,,캠페인 예산 사용,0,48502,진행 중,-,-,-,2224,21808.453237,35,,1385.771429,1.573741,40,1.798561,1212.55,30,1616.733333
2026-03-23,2026-03-30,솔직히_롱버전_슬라이드,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,1554,1.381596,,캠페인 예산 사용,0,65026,진행 중,-,-,-,2147,30286.91197,61,,1066,2.841174,101,4.704238,643.821782,51,1275.019608
2026-03-23,2026-03-30,한팩에1400원_이미지1,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,180,1.422222,,캠페인 예산 사용,0,5413,진행 중,-,-,-,256,21144.53125,10,,541.3,3.90625,10,3.90625,541.3,6,902.166667
