보고 시작,보고 종료,광고 이름,캠페인 이름,광고 세트 이름,광고 게재,통화,기여 설정,결과,결과 표시 도구,도달,빈도,결과당 비용,광고 세트 예산,광고 세트 예산 유형,지출 금액 (KRW),종료,품질 순위,참여율 순위,전환율 순위,노출,"CPM(1,000회 노출당 비용) (KRW)",링크 클릭,shop_clicks,CPC(링크 클릭당 비용) (KRW),CTR(링크 클릭률),클릭(전체),CTR(전체),CPC(전체) (KRW),랜딩 페이지 조회,랜딩 페이지 조회당 비용 (KRW)
2026-03-30,2026-04-06,20251117_트래픽_영상,20250515_트래픽_영상,20250515_트래픽_영상,active,KRW,클릭 후 7일 또는 조회 후 1일,,,3461,3.414331,,캠페인 예산 사용,0,149265,진행 중,-,-,-,11817,12631.378522,546,,273.379121,4.620462,495,4.18888,301.545455,437,341.567506
2026-03-30,2026-04-06,무료배송+5%할인_이미지1,260309_pet안전봉투신제품할인,안전봉투_타겟,active,KRW,클릭 후 7일 또는 조회 후 1일,,,2444,2.612111,,캠페인 예산 사용,0,83416,진행 중,-,-,-,6384,13066.41604,83,,1005.012048,1.300125,84,1.315789,993.047619,59,1413.830508
2026-03-30,2026-04-06,뽁뽁이사는돈_이미지1,260309_pet안전봉투신제품할인,안전봉투_타겟,active,KRW,클릭 후 7일 또는 조회 후 1일,,,4594,2.153026,,캠페인 예산 사용,0,142047,진행 중,-,-,-,9891,14361.237489,100,,1420.47,1.01102,148,1.49631,959.777027,59,2407.576271
2026-03-30,2026-04-06,쿠팡업체도_영상,260309_pet안전봉투신제품할인,안전봉투_타겟,active,KRW,클릭 후 7일 또는 조회 후 1일,,,1034,3.407157,,캠페인 예산 사용,0,40386,진행 중,-,-,-,3523,11463.525404,83,,486.578313,2.355947,77,2.185637,524.493506,38,1062.789474
2026-03-30,2026-04-06,포장만바꿔도_이미지3_0320,260309_pet안전봉투신제품할인,안전봉투_타겟,active,KRW,클릭 후 7일 또는 조회 후 1일,,,4154,2.223399,,캠페인 예산 사용,0,109899,진행 중,-,-,-,9236,11898.982243,81,,1356.777778,0.877003,101,1.093547,1088.108911,63,1744.428571
