보고 시작,보고 종료,광고 이름,캠페인 이름,광고 세트 이름,광고 게재,통화,기여 설정,결과,결과 표시 도구,도달,빈도,결과당 비용,광고 세트 예산,광고 세트 예산 유형,지출 금액 (KRW),종료,품질 순위,참여율 순위,전환율 순위,노출,"CPM(1,000회 노출당 비용) (KRW)",링크 클릭,shop_clicks,CPC(링크 클릭당 비용) (KRW),CTR(링크 클릭률),클릭(전체),CTR(전체),CPC(전체) (KRW),랜딩 페이지 조회,랜딩 페이지 조회당 비용 (KRW)
2026-03-25,2026-03-26,20251117_트래픽_영상,20250515_트래픽_영상,20250515_트래픽_영상,active,KRW,클릭 후 7일 또는 조회 후 1일,,,838,2.356802,,캠페인 예산 사용,0,26739,진행 중,-,-,-,1975,13538.734177,85,,314.576471,4.303797,71,3.594937,376.605634,65,411.369231
2026-03-25,2026-03-26,무료배송+5%할인_이미지1,260309_pet안전봉투신제품할인,안전봉투_타겟,active,KRW,클릭 후 7일 또는 조회 후 1일,,,98,1.316327,,캠페인 예산 사용,0,2356,진행 중,-,-,-,129,18263.565891,0,,,,0,0,,,
2026-03-25,2026-03-26,뽁뽁이사는돈_이미지1,260309_pet안전봉투신제품할인,안전봉투_타겟,active,KRW,클릭 후 7일 또는 조회 후 1일,,,1420,1.775352,,캠페인 예산 사용,0,33692,진행 중,-,-,-,2521,13364.537882,20,,1684.6,0.793336,28,1.11067,1203.285714,13,2591.692308
2026-03-25,2026-03-26,쿠팡업체도_영상,260309_pet안전봉투신제품할인,안전봉투_타겟,active,KRW,클릭 후 7일 또는 조회 후 1일,,,61,1.655738,,캠페인 예산 사용,0,1164,진행 중,-,-,-,101,11524.752475,4,,291,3.960396,4,3.960396,291,,
2026-03-25,2026-03-26,포장만바꿔도_이미지3_0320,260309_pet안전봉투신제품할인,안전봉투_타겟,active,KRW,클릭 후 7일 또는 조회 후 1일,,,2260,1.517257,,캠페인 예산 사용,0,46049,진행 중,-,-,-,3429,13429.279673,27,,1705.518519,0.787402,38,1.108195,1211.815789,18,2558.277778
2026-03-25,2026-03-26,파손클래임_롱버전_이미지1_0320,260309_pet안전봉투신제품할인,안전봉투_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,0,0,,캠페인 예산 사용,0,0,진행 중,-,-,-,0,0,0,,,,0,0,,,
2026-03-25,2026-03-26,포장이브랜드_동영상_0320,260309_pet안전봉투신제품할인,안전봉투_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,0,0,,캠페인 예산 사용,0,0,진행 중,-,-,-,0,0,0,,,,0,0,,,
