보고 시작,보고 종료,광고 이름,캠페인 이름,광고 세트 이름,광고 게재,통화,기여 설정,결과,결과 표시 도구,도달,빈도,결과당 비용,광고 세트 예산,광고 세트 예산 유형,지출 금액 (KRW),종료,품질 순위,참여율 순위,전환율 순위,노출,"CPM(1,000회 노출당 비용) (KRW)",링크 클릭,shop_clicks,CPC(링크 클릭당 비용) (KRW),CTR(링크 클릭률),클릭(전체),CTR(전체),CPC(전체) (KRW),랜딩 페이지 조회,랜딩 페이지 조회당 비용 (KRW)
2026-03-30,2026-04-06,20251117_트래픽_영상,20250515_트래픽_영상,20250515_트래픽_영상,active,KRW,클릭 후 7일 또는 조회 후 1일,,,3457,3.417414,,캠페인 예산 사용,0,149239,진행 중,-,-,-,11814,12632.385306,546,,273.331502,4.621635,495,4.189944,301.492929,437,341.508009
2026-03-30,2026-04-06,무료배송+5%할인_이미지1,260309_pet안전봉투신제품할인,안전봉투_타겟,active,KRW,클릭 후 7일 또는 조회 후 1일,,,2444,2.610475,,캠페인 예산 사용,0,83393,진행 중,-,-,-,6380,13071.003135,83,,1004.73494,1.30094,84,1.316614,992.77381,59,1413.440678
2026-03-30,2026-04-06,뽁뽁이사는돈_이미지1,260309_pet안전봉투신제품할인,안전봉투_타겟,active,KRW,클릭 후 7일 또는 조회 후 1일,,,4586,2.156127,,캠페인 예산 사용,0,142014,진행 중,-,-,-,9888,14362.257282,100,,1420.14,1.011327,148,1.496764,959.554054,59,2407.016949
2026-03-30,2026-04-06,쿠팡업체도_영상,260309_pet안전봉투신제품할인,안전봉투_타겟,active,KRW,클릭 후 7일 또는 조회 후 1일,,,1034,3.407157,,캠페인 예산 사용,0,40386,진행 중,-,-,-,3523,11463.525404,83,,486.578313,2.355947,77,2.185637,524.493506,38,1062.789474
2026-03-30,2026-04-06,포장만바꿔도_이미지3_0320,260309_pet안전봉투신제품할인,안전봉투_타겟,active,KRW,클릭 후 7일 또는 조회 후 1일,,,4153,2.222008,,캠페인 예산 사용,0,109733,진행 중,-,-,-,9228,11891.309059,81,,1354.728395,0.877763,101,1.094495,1086.465347,63,1741.793651
