보고 시작,보고 종료,광고 이름,캠페인 이름,광고 세트 이름,광고 게재,통화,기여 설정,결과,결과 표시 도구,도달,빈도,결과당 비용,광고 세트 예산,광고 세트 예산 유형,지출 금액 (KRW),종료,품질 순위,참여율 순위,전환율 순위,노출,"CPM(1,000회 노출당 비용) (KRW)",링크 클릭,shop_clicks,CPC(링크 클릭당 비용) (KRW),CTR(링크 클릭률),클릭(전체),CTR(전체),CPC(전체) (KRW),랜딩 페이지 조회,랜딩 페이지 조회당 비용 (KRW)
2026-03-30,2026-04-06,20251117_트래픽_영상,20250515_트래픽_영상,20250515_트래픽_영상,active,KRW,클릭 후 7일 또는 조회 후 1일,,,3444,3.426539,,캠페인 예산 사용,0,149130,진행 중,-,-,-,11801,12637.064656,545,,273.633028,4.618253,495,4.19456,301.272727,434,343.617512
2026-03-30,2026-04-06,무료배송+5%할인_이미지1,260309_pet안전봉투신제품할인,안전봉투_타겟,active,KRW,클릭 후 7일 또는 조회 후 1일,,,2437,2.609766,,캠페인 예산 사용,0,83222,진행 중,-,-,-,6360,13085.220126,83,,1002.674699,1.305031,84,1.320755,990.738095,59,1410.542373
2026-03-30,2026-04-06,뽁뽁이사는돈_이미지1,260309_pet안전봉투신제품할인,안전봉투_타겟,active,KRW,클릭 후 7일 또는 조회 후 1일,,,4586,2.15242,,캠페인 예산 사용,0,141748,진행 중,-,-,-,9871,14360.044575,100,,1417.48,1.013069,148,1.499342,957.756757,59,2402.508475
2026-03-30,2026-04-06,쿠팡업체도_영상,260309_pet안전봉투신제품할인,안전봉투_타겟,active,KRW,클릭 후 7일 또는 조회 후 1일,,,1031,3.407371,,캠페인 예산 사용,0,40293,진행 중,-,-,-,3513,11469.684031,83,,485.457831,2.362653,77,2.191859,523.285714,38,1060.342105
2026-03-30,2026-04-06,포장만바꿔도_이미지3_0320,260309_pet안전봉투신제품할인,안전봉투_타겟,active,KRW,클릭 후 7일 또는 조회 후 1일,,,4152,2.217486,,캠페인 예산 사용,0,109543,진행 중,-,-,-,9207,11897.795156,81,,1352.382716,0.879765,101,1.096991,1084.584158,63,1738.777778
