보고 시작,보고 종료,광고 이름,캠페인 이름,광고 세트 이름,광고 게재,통화,기여 설정,결과,결과 표시 도구,도달,빈도,결과당 비용,광고 세트 예산,광고 세트 예산 유형,지출 금액 (KRW),종료,품질 순위,참여율 순위,전환율 순위,노출,"CPM(1,000회 노출당 비용) (KRW)",링크 클릭,shop_clicks,CPC(링크 클릭당 비용) (KRW),CTR(링크 클릭률),클릭(전체),CTR(전체),CPC(전체) (KRW),랜딩 페이지 조회,랜딩 페이지 조회당 비용 (KRW),리드당_비용
2026-03-01,2026-03-31,주부들_롱버전_영상,울산_지역광고_260324_카페,울산지역_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,886,1.074492,,캠페인 예산 사용,0,5357,진행 중,-,-,-,952,5627.10084,133,,40.278195,13.970588,141,14.810924,37.992908,117.0,45.786325,
2026-03-01,2026-03-31,마트카트_영상2,울산_지역광고_260324_카페,울산지역_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,11,1.090909,,캠페인 예산 사용,0,48,진행 중,-,-,-,12,4000.0,1,,48.0,8.333333,1,8.333333,48.0,1.0,48.0,
2026-03-01,2026-03-31,YS_묵직한_영상,여수_지역광고_260325_카페,여수지역_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,1386,1.016595,,캠페인 예산 사용,0,13322,진행 중,-,-,-,1409,9454.932576,38,,350.578947,2.696948,44,3.122782,302.772727,38.0,350.578947,
2026-03-01,2026-03-31,YS_지금당장_롱버전_영상,여수_지역광고_260325_카페,여수지역_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,714,1.085434,,캠페인 예산 사용,0,4507,진행 중,-,-,-,775,5815.483871,76,,59.302632,9.806452,82,10.580645,54.963415,67.0,67.268657,
2026-03-01,2026-03-31,YS_눈으로봐도_영상,여수_지역광고_260325_카페,여수지역_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,6937,1.163904,,캠페인 예산 사용,0,65659,진행 중,-,-,-,8074,8132.152589,999,,65.724725,12.373049,1232,15.258856,53.294643,952.0,68.969538,
2026-03-01,2026-03-31,YS_거기진짜_영상2,여수_지역광고_260325_카페,여수지역_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,834,1.056355,,캠페인 예산 사용,0,6740,진행 중,-,-,-,881,7650.397276,79,,85.316456,8.967083,92,10.442679,73.26087,69.0,97.681159,
2026-03-01,2026-03-31,YS_띠링_영상2,여수_지역광고_260325_카페,여수지역_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,199,1.015075,,캠페인 예산 사용,0,1726,진행 중,-,-,-,202,8544.554455,12,,143.833333,5.940594,13,6.435644,132.769231,12.0,143.833333,
2026-03-01,2026-03-31,YS_마트카트_영상_13-1최종,여수_지역광고_260325_카페,여수지역_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,1,1.0,,캠페인 예산 사용,0,12,진행 중,-,-,-,1,12000.0,0,,,,0,0.0,,,,
2026-03-01,2026-03-31,YS_마트카트_영상_27화장품_미친특가_2차,여수_지역광고_260325_카페,여수지역_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,1,1.0,,캠페인 예산 사용,0,2,진행 중,-,-,-,1,2000.0,0,,,,0,0.0,,,,
2026-03-01,2026-03-31,YS_마트카트_영상_14-1_2차,여수_지역광고_260325_카페,여수지역_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,3,1.0,,캠페인 예산 사용,0,16,진행 중,-,-,-,3,5333.333333,0,,,,0,0.0,,,,
2026-03-01,2026-03-31,YS_주부들_롱버전_영상1,여수_지역광고_260325_카페,여수지역_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,843,1.077106,,캠페인 예산 사용,0,5510,진행 중,-,-,-,908,6068.281938,99,,55.656566,10.903084,112,12.334802,49.196429,88.0,62.613636,
2026-03-01,2026-03-31,YS_마트카트_영상2,여수_지역광고_260325_카페,여수지역_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,10034,1.16763,,캠페인 예산 사용,0,85522,진행 중,-,-,-,11716,7299.590304,1480,,57.785135,12.632298,1567,13.374872,54.576899,1319.0,64.838514,
2026-03-01,2026-03-31,CW_주부들_롱버전_영상2,창원_지역광고_260330_카페,창원지역_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,849,1.055359,,캠페인 예산 사용,0,8416,진행 중,-,-,-,896,9392.857143,25,,336.64,2.790179,35,3.90625,240.457143,21.0,400.761905,
2026-03-01,2026-03-31,CW_마트카트_영상2_1,창원_지역광고_260330_카페,창원지역_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,625,1.1104,,캠페인 예산 사용,0,4796,진행 중,-,-,-,694,6910.662824,7,,685.142857,1.008646,11,1.585014,436.0,3.0,1598.666667,
2026-03-01,2026-03-31,CW_눈으로봐도_영상_1,창원_지역광고_260330_카페,창원지역_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,1231,1.104793,,캠페인 예산 사용,0,12027,진행 중,-,-,-,1360,8843.382353,65,,185.030769,4.779412,69,5.073529,174.304348,62.0,193.983871,
2026-03-01,2026-03-31,CW_지금당장_롱버전_영상_1,창원_지역광고_260330_카페,창원지역_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,349,1.014327,,캠페인 예산 사용,0,2682,진행 중,-,-,-,354,7576.271186,8,,335.25,2.259887,8,2.259887,335.25,8.0,335.25,
2026-03-01,2026-03-31,CW_주부들_롱버전_영상1_2,창원_지역광고_260330_카페,창원지역_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,263,1.087452,,캠페인 예산 사용,0,2315,진행 중,-,-,-,286,8094.405594,9,,257.222222,3.146853,13,4.545455,178.076923,6.0,385.833333,
2026-03-01,2026-03-31,CW_눈으로봐도_영상_2,창원_지역광고_260330_카페,창원지역_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,1801,1.128262,,캠페인 예산 사용,0,18657,진행 중,-,-,-,2032,9181.594488,64,,291.515625,3.149606,68,3.346457,274.367647,69.0,270.391304,
2026-03-01,2026-03-31,CW_지금당장_롱버전_영상_2,창원_지역광고_260330_카페,창원지역_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,2217,1.08074,,캠페인 예산 사용,0,20838,진행 중,-,-,-,2396,8696.994992,26,,801.461538,1.085142,31,1.293823,672.193548,19.0,1096.736842,
2026-03-01,2026-03-31,CW_눈으로봐도_영상_3,창원_지역광고_260330_카페,창원지역_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,330,1.19697,,캠페인 예산 사용,0,2589,진행 중,-,-,-,395,6554.43038,9,,287.666667,2.278481,10,2.531646,258.9,9.0,287.666667,
2026-03-01,2026-03-31,CW_주부들_롱버전_영상1_3,창원_지역광고_260330_카페,창원지역_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,137,1.065693,,캠페인 예산 사용,0,1406,진행 중,-,-,-,146,9630.136986,1,,1406.0,0.684932,1,0.684932,1406.0,1.0,1406.0,
2026-03-01,2026-03-31,CW_지금당장_롱버전_영상_3,창원_지역광고_260330_카페,창원지역_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,116,1.008621,,캠페인 예산 사용,0,1045,진행 중,-,-,-,117,8931.623932,6,,174.166667,5.128205,6,5.128205,174.166667,5.0,209.0,
