보고 시작,보고 종료,광고 이름,광고 게재,통화,기여 설정,결과,결과 표시 도구,도달,빈도,결과당 비용,광고 세트 예산,광고 세트 예산 유형,지출 금액 (USD),종료,품질 순위,참여율 순위,전환율 순위,노출,"CPM(1,000회 노출당 비용) (USD)",링크 클릭,shop_clicks,CPC(링크 클릭당 비용) (USD),CTR(링크 클릭률),클릭(전체),CTR(전체),CPC(전체) (USD),랜딩 페이지 조회,랜딩 페이지 조회당 비용 (USD)
2026-03-17,2026-03-24,251104_실프_감성에어로웨이,active,USD,클릭 후 7일 또는 조회 후 1일,,,11353,1.379195,,캠페인 예산 사용,0,158.49,진행 중,-,-,-,15658,10.121982,743,,0.213311,4.745178,825,5.268872,0.192109,689,0.230029
2026-03-17,2026-03-24,260106_엘리_거실분위기_단일이미지,active,USD,클릭 후 7일 또는 조회 후 1일,,,3693,1.436772,,캠페인 예산 사용,0,67.03,진행 중,-,-,-,5306,12.632868,286,,0.234371,5.390124,307,5.785903,0.218339,269,0.249182
2026-03-17,2026-03-24,250106_실프_오동나무느낌,active,USD,클릭 후 7일 또는 조회 후 1일,,,5418,1.32392,,캠페인 예산 사용,0,72.21,진행 중,-,-,-,7173,10.066918,383,,0.188538,5.339467,427,5.952879,0.16911,367,0.196757
2026-03-17,2026-03-24,260202_엘리_설치한번으로 공간이,active,USD,클릭 후 7일 또는 조회 후 1일,,,185,1.567568,,캠페인 예산 사용,0,5,진행 중,-,-,-,290,17.241379,7,,0.714286,2.413793,9,3.103448,0.555556,7,0.714286
2026-03-17,2026-03-24,260202_엘리_날개가다르면,active,USD,클릭 후 7일 또는 조회 후 1일,,,253,1.44664,,캠페인 예산 사용,0,9.37,진행 중,-,-,-,366,25.601093,24,,0.390417,6.557377,30,8.196721,0.312333,21,0.446190
2026-03-17,2026-03-24,260304_엘리_인테리어내용_이미지2,active,USD,클릭 후 7일 또는 조회 후 1일,,,32,1.0625,,캠페인 예산 사용,0,0.82,진행 중,-,-,-,34,24.117647,1,,0.82,2.941176,2,5.882353,0.41,,
2026-03-17,2026-03-24,260304_엘리_거실분위기_영상,inactive,USD,클릭 후 7일 또는 조회 후 1일,,,8,1.25,,캠페인 예산 사용,0,0.9,진행 중,-,-,-,10,90,0,,,,2,20,0.45,,
2026-03-17,2026-03-24,260304_실프_설치한번으로 공간이_이미지4,active,USD,클릭 후 7일 또는 조회 후 1일,,,101,1.227723,,캠페인 예산 사용,0,2.27,진행 중,-,-,-,124,18.306452,9,,0.252222,7.258065,12,9.677419,0.189167,9,0.252222
2026-03-17,2026-03-24,250304_실프_요즘대세는_이미지3,active,USD,클릭 후 7일 또는 조회 후 1일,,,355,1.380282,,캠페인 예산 사용,0,8.62,진행 중,-,-,-,490,17.591837,26,,0.331538,5.306122,30,6.122449,0.287333,24,0.359167
2026-03-17,2026-03-24,260304_실프_인테리어고수_영상,active,USD,클릭 후 7일 또는 조회 후 1일,,,19,1.105263,,캠페인 예산 사용,0,0.35,진행 중,-,-,-,21,16.666667,1,,0.35,4.761905,1,4.761905,0.35,1,0.350000
2026-03-17,2026-03-24,260312_엘리_설치한번으로 공간이_이미지1,active,USD,클릭 후 7일 또는 조회 후 1일,,,858,1.365967,,캠페인 예산 사용,0,15.44,진행 중,-,-,-,1172,13.174061,45,,0.343111,3.83959,60,5.119454,0.257333,42,0.367619
2026-03-17,2026-03-24,260312_엘리_설치한번으로 공간이_이미지2,active,USD,클릭 후 7일 또는 조회 후 1일,,,44,1.045455,,캠페인 예산 사용,0,0.8,진행 중,-,-,-,46,17.391304,1,,0.8,2.173913,2,4.347826,0.4,1,0.800000
2026-03-17,2026-03-24,260312_엘리_설치한번으로 공간이_영상,active,USD,클릭 후 7일 또는 조회 후 1일,,,229,1.200873,,캠페인 예산 사용,0,4.14,진행 중,-,-,-,275,15.054545,8,,0.5175,2.909091,8,2.909091,0.5175,6,0.690000
2026-03-17,2026-03-24,260313_트래픽광고_기존게시글 _앨리,active,USD,클릭 후 7일 또는 조회 후 1일,,,0,0,,캠페인 예산 사용,0,0,진행 중,-,-,-,0,0,0,,,,0,0,,,
2026-03-17,2026-03-24,260313_트래픽광고_기존게시글,active,USD,클릭 후 7일 또는 조회 후 1일,,,3352,1.149165,,캠페인 예산 사용,0,13.93,진행 중,-,-,-,3852,3.616303,162,,0.085988,4.205607,189,4.906542,0.073704,154,0.090455
2026-03-17,2026-03-24,260313_트래픽광고_기존게시글 - 사본,active,USD,클릭 후 7일 또는 조회 후 1일,,,186,1.075269,,캠페인 예산 사용,0,0.78,진행 중,-,-,-,200,3.9,8,,0.0975,4,6,3,0.13,6,0.130000
2026-03-17,2026-03-24,260313_트래픽광고_기존게시글 _앨리,active,USD,클릭 후 7일 또는 조회 후 1일,,,32592,1.450816,,캠페인 예산 사용,0,138.81,진행 중,-,-,-,47285,2.935603,1591,,0.087247,3.364703,1601,3.385852,0.086702,1293,0.107355
