보고 시작,보고 종료,광고 이름,캠페인 이름,광고 세트 이름,광고 게재,통화,기여 설정,결과,결과 표시 도구,도달,빈도,결과당 비용,광고 세트 예산,광고 세트 예산 유형,지출 금액 (KRW),종료,품질 순위,참여율 순위,전환율 순위,노출,"CPM(1,000회 노출당 비용) (KRW)",링크 클릭,shop_clicks,CPC(링크 클릭당 비용) (KRW),CTR(링크 클릭률),클릭(전체),CTR(전체),CPC(전체) (KRW),랜딩 페이지 조회,랜딩 페이지 조회당 비용 (KRW),리드당_비용
2026-03-01,2026-03-31,엄마배고파_영상,한우사골곰탕_260307,한우사골곰탕_260307,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,70,1.042857,,캠페인 예산 사용,0,1576,진행 중,-,-,-,73,21589.041096,1,,1576.0,1.369863,1,1.369863,1576.0,1.0,1576.0,
2026-03-01,2026-03-31,이름만곰탕인_이미지1,한우사골곰탕_260307,한우사골곰탕_260307,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,256,1.046875,,캠페인 예산 사용,0,5319,진행 중,-,-,-,268,19847.014925,3,,1773.0,1.119403,3,1.119403,1773.0,3.0,1773.0,
2026-03-01,2026-03-31,냉장고에든든한_이미지2,한우사골곰탕_260307,한우사골곰탕_260307,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,198,1.040404,,캠페인 예산 사용,0,4823,진행 중,-,-,-,206,23412.621359,6,,803.833333,2.912621,7,3.398058,689.0,6.0,803.833333,
2026-03-01,2026-03-31,퍽퍽한고기_이미지3,한우사골곰탕_260307,한우사골곰탕_260307,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,227,1.052863,,캠페인 예산 사용,0,5861,진행 중,-,-,-,239,24523.012552,8,,732.625,3.34728,8,3.34728,732.625,8.0,732.625,
2026-03-01,2026-03-31,소화잘되고_이미지4,한우사골곰탕_260307,한우사골곰탕_260307,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,21,1.047619,,캠페인 예산 사용,0,1029,진행 중,-,-,-,22,46772.727273,1,,1029.0,4.545455,1,4.545455,1029.0,1.0,1029.0,
2026-03-01,2026-03-31,국내산한돈실화_슬라이드3,한돈세트_260304,골라담기_260304_18_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,53,1.056604,,캠페인 예산 사용,0,811,진행 중,-,-,-,56,14482.142857,0,,,,0,0.0,,,,
2026-03-01,2026-03-31,오늘저녁은_슬라이드_0313,한돈세트_260304,골라담기_260304_18_타겟,active,KRW,클릭 후 7일 또는 조회 후 1일,,,6725,1.70632,,캠페인 예산 사용,0,482961,진행 중,-,-,-,11475,42088.104575,386,,1251.194301,3.363834,398,3.46841,1213.469849,375.0,1287.896,
2026-03-01,2026-03-31,마트삼겹살_슬라이드_260313,한돈세트_260304,골라담기_260304_18_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,96,1.010417,,캠페인 예산 사용,0,4100,진행 중,-,-,-,97,42268.041237,6,,683.333333,6.185567,6,6.185567,683.333333,6.0,683.333333,
2026-03-01,2026-03-31,마트삼겹살_슬라이드_260313 - 사본,한돈세트_260304,골라담기_260304_18_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,76,1.039474,,캠페인 예산 사용,0,3521,진행 중,-,-,-,79,44569.620253,2,,1760.5,2.531646,2,2.531646,1760.5,2.0,1760.5,
2026-03-01,2026-03-31,냉장으로_슬라이드_new,삼겹살_260313,판매_260313,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,2018,1.189792,,캠페인 예산 사용,0,67282,진행 중,-,-,-,2401,28022.490629,48,,1401.708333,1.999167,47,1.957518,1431.531915,44.0,1529.136364,
2026-03-01,2026-03-31,실화9900_이미지1,삼겹살_260313,판매_260313,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,22,1.0,,캠페인 예산 사용,0,832,진행 중,-,-,-,22,37818.181818,1,,832.0,4.545455,1,4.545455,832.0,1.0,832.0,
2026-03-01,2026-03-31,주말마다_이미지2,삼겹살_260313,판매_260313,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,5,1.0,,캠페인 예산 사용,0,225,진행 중,-,-,-,5,45000.0,0,,,,0,0.0,,,,
2026-03-01,2026-03-31,주말마다_이미지3,삼겹살_260313,판매_260313,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,45,1.066667,,캠페인 예산 사용,0,2172,진행 중,-,-,-,48,45250.0,0,,,,0,0.0,,,,
2026-03-01,2026-03-31,주말마다_이미지4,삼겹살_260313,판매_260313,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,102,1.058824,,캠페인 예산 사용,0,3267,진행 중,-,-,-,108,30250.0,3,,1089.0,2.777778,2,1.851852,1633.5,3.0,1089.0,
2026-03-01,2026-03-31,실화9900_영상,삼겹살_260313,판매_260313,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,1049,1.094376,,캠페인 예산 사용,0,31473,진행 중,-,-,-,1148,27415.505226,29,,1085.275862,2.526132,28,2.439024,1124.035714,29.0,1085.275862,
2026-03-01,2026-03-31,고깃집부럽지않아요_슬라이드,삼겹살_260313,판매_260313,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,423,1.210402,,캠페인 예산 사용,0,21294,진행 중,-,-,-,512,41589.84375,15,,1419.6,2.929688,19,3.710938,1120.736842,14.0,1521.0,
2026-03-01,2026-03-31,혼밥도_슬라이드,삼겹살_260313,판매_260313,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,669,1.240658,,캠페인 예산 사용,0,22921,진행 중,-,-,-,830,27615.662651,21,,1091.47619,2.53012,23,2.771084,996.565217,21.0,1091.47619,
2026-03-01,2026-03-31,고깃집부럽지않아요_슬라이드 - 사본,삼겹살_260313,판매_260313,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,2282,1.275197,,캠페인 예산 사용,0,71597,진행 중,-,-,-,2910,24603.780069,75,,954.626667,2.57732,76,2.611684,942.065789,72.0,994.402778,
2026-03-01,2026-03-31,냉장으로_영상_0318,한돈세트_260304,골라담기_260304_18_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,154,1.103896,,캠페인 예산 사용,0,5620,진행 중,-,-,-,170,33058.823529,2,,2810.0,1.176471,2,1.176471,2810.0,2.0,2810.0,
2026-03-01,2026-03-31,냉장아닙니다_슬라이드,한돈세트_260304,골라담기_260304_18_타겟,active,KRW,클릭 후 7일 또는 조회 후 1일,,,3719,1.28341,,캠페인 예산 사용,0,210450,진행 중,-,-,-,4773,44091.766185,130,,1618.846154,2.723654,138,2.891263,1525.0,124.0,1697.177419,
2026-03-01,2026-03-31,퇴근길에_슬라이드_0318,한돈세트_260304,골라담기_260304_18_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,2,1.0,,캠페인 예산 사용,0,49,진행 중,-,-,-,2,24500.0,0,,,,0,0.0,,,,
2026-03-01,2026-03-31,퇴근길_슬라이드_260319,한돈세트_260304,골라담기_260304_18_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,375,1.088,,캠페인 예산 사용,0,17746,진행 중,-,-,-,408,43495.098039,11,,1613.272727,2.696078,11,2.696078,1613.272727,11.0,1613.272727,
2026-03-01,2026-03-31,육수22시간_롱버전_이미지gif,곰탕_260320,곰탕_260320_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,24,1.083333,,캠페인 예산 사용,0,901,진행 중,-,-,-,26,34653.846154,0,,,,0,0.0,,,,
2026-03-01,2026-03-31,육수22시간_롱버전_이미지gif2,곰탕_260320,곰탕_260320_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,917,1.258451,,캠페인 예산 사용,0,43278,진행 중,-,-,-,1154,37502.599653,13,,3329.076923,1.126516,13,1.126516,3329.076923,12.0,3606.5,
2026-03-01,2026-03-31,육수22시간_롱버전_이미지3,곰탕_260320,곰탕_260320_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,306,1.163399,,캠페인 예산 사용,0,9043,진행 중,-,-,-,356,25401.685393,3,,3014.333333,0.842697,3,0.842697,3014.333333,3.0,3014.333333,
2026-03-01,2026-03-31,육수22시간_롱버전_이미지4,곰탕_260320,곰탕_260320_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,804,1.094527,,캠페인 예산 사용,0,25131,진행 중,-,-,-,880,28557.954545,8,,3141.375,0.909091,8,0.909091,3141.375,8.0,3141.375,
2026-03-01,2026-03-31,육수22시간_롱버전_동영상,곰탕_260320,곰탕_260320_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,7,1.142857,,캠페인 예산 사용,0,370,진행 중,-,-,-,8,46250.0,0,,,,0,0.0,,,,
2026-03-01,2026-03-31,우리아이가_롱버전_동영상,곰탕_260320,곰탕_260320_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,77,1.051948,,캠페인 예산 사용,0,2540,진행 중,-,-,-,81,31358.024691,0,,,,0,0.0,,,,
2026-03-01,2026-03-31,한우사골육수이가격?_롱버전_동영상,곰탕_260320,곰탕_260320_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,852,1.13615,,캠페인 예산 사용,0,30459,진행 중,-,-,-,968,31465.909091,7,,4351.285714,0.723141,11,1.136364,2769.0,7.0,4351.285714,
2026-03-01,2026-03-31,한우사골육수이가격?_롱버전_이미지,곰탕_260320,곰탕_260320_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,128,1.039063,,캠페인 예산 사용,0,2491,진행 중,-,-,-,133,18729.323308,0,,,,0,0.0,,,,
2026-03-01,2026-03-31,알뜰주부의계산_롱버전_이미지gif,곰탕_260320,곰탕_260320_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,23,1.130435,,캠페인 예산 사용,0,952,진행 중,-,-,-,26,36615.384615,0,,,,0,0.0,,,,
2026-03-01,2026-03-31,이가격에이맛?_이미지,곰탕_260320,곰탕_260320_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,486,1.090535,,캠페인 예산 사용,0,14073,진행 중,-,-,-,530,26552.830189,3,,4691.0,0.566038,3,0.566038,4691.0,2.0,7036.5,
2026-03-01,2026-03-31,요리초보도_이미지,곰탕_260320,곰탕_260320_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,236,1.072034,,캠페인 예산 사용,0,6582,진행 중,-,-,-,253,26015.810277,1,,6582.0,0.395257,1,0.395257,6582.0,1.0,6582.0,
