보고 시작,보고 종료,광고 이름,캠페인 이름,광고 세트 이름,광고 게재,통화,기여 설정,결과,결과 표시 도구,도달,빈도,결과당 비용,광고 세트 예산,광고 세트 예산 유형,지출 금액 (KRW),종료,품질 순위,참여율 순위,전환율 순위,노출,"CPM(1,000회 노출당 비용) (KRW)",링크 클릭,shop_clicks,CPC(링크 클릭당 비용) (KRW),CTR(링크 클릭률),클릭(전체),CTR(전체),CPC(전체) (KRW),랜딩 페이지 조회,랜딩 페이지 조회당 비용 (KRW)
2026-03-30,2026-04-06,오늘저녁은_슬라이드_0313,한돈세트_260304,골라담기_260304_18_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,2360,1.67161,,캠페인 예산 사용,0,159198,진행 중,-,-,-,3945,40354.372624,118,,1349.135593,2.991128,123,3.117871,1294.292683,107,1487.831776
2026-03-30,2026-04-06,냉장아닙니다_슬라이드,한돈세트_260304,골라담기_260304_18_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,483,1.267081,,캠페인 예산 사용,0,26583,진행 중,-,-,-,612,43436.27451,19,,1399.105263,3.104575,20,3.267974,1329.15,17,1563.705882
2026-03-30,2026-04-06,냉장으로_260403_인스타,한돈세트_260403_인스타,골라담기_260403_인스타,active,KRW,클릭 후 7일 또는 조회 후 1일,,,1679,1.11078,,캠페인 예산 사용,0,45923,진행 중,-,-,-,1865,24623.592493,51,,900.45098,2.734584,49,2.627346,937.204082,45,1020.511111
2026-03-30,2026-04-06,냉장아닙니다_260403_인스타,한돈세트_260403_인스타,골라담기_260403_인스타,active,KRW,클릭 후 7일 또는 조회 후 1일,,,32,1.03125,,캠페인 예산 사용,0,1627,진행 중,-,-,-,33,49303.030303,1,,1627,3.030303,1,3.030303,1627,1,1627.000000
2026-03-30,2026-04-06,퇴근길_슬라이드_260403_인스타,한돈세트_260403_인스타,골라담기_260403_인스타,active,KRW,클릭 후 7일 또는 조회 후 1일,,,24,1,,캠페인 예산 사용,0,793,진행 중,-,-,-,24,33041.666667,0,,,,0,0,,,
2026-03-30,2026-04-06,온라인고기걱정_260403_인스타,한돈세트_260403_인스타,골라담기_260403_인스타,active,KRW,클릭 후 7일 또는 조회 후 1일,,,284,1.049296,,캠페인 예산 사용,0,10836,진행 중,-,-,-,298,36362.416107,5,,2167.2,1.677852,4,1.342282,2709,4,2709.000000
2026-03-30,2026-04-06,마트고기_260403_인스타,한돈세트_260403_인스타,골라담기_260403_인스타,active,KRW,클릭 후 7일 또는 조회 후 1일,,,1558,1.129012,,캠페인 예산 사용,0,48864,진행 중,-,-,-,1759,27779.420125,35,,1396.114286,1.989767,35,1.989767,1396.114286,33,1480.727273
2026-03-30,2026-04-06,9500원실화_260403_인스타,한돈세트_260403_인스타,골라담기_260403_인스타,active,KRW,클릭 후 7일 또는 조회 후 1일,,,29,1.068966,,캠페인 예산 사용,0,425,진행 중,-,-,-,31,13709.677419,2,,212.5,6.451613,1,3.225806,425,2,212.500000
2026-03-30,2026-04-06,골라담기_260403_인스타,한돈세트_260403_인스타,골라담기_260403_인스타,active,KRW,클릭 후 7일 또는 조회 후 1일,,,404,1.106436,,캠페인 예산 사용,0,15124,진행 중,-,-,-,447,33834.451902,12,,1260.333333,2.684564,13,2.908277,1163.384615,11,1374.909091
