보고 시작,보고 종료,광고 이름,캠페인 이름,광고 세트 이름,광고 게재,통화,기여 설정,결과,결과 표시 도구,도달,빈도,결과당 비용,광고 세트 예산,광고 세트 예산 유형,지출 금액 (USD),종료,품질 순위,참여율 순위,전환율 순위,노출,"CPM(1,000회 노출당 비용) (USD)",링크 클릭,shop_clicks,CPC(링크 클릭당 비용) (USD),CTR(링크 클릭률),클릭(전체),CTR(전체),CPC(전체) (USD),랜딩 페이지 조회,랜딩 페이지 조회당 비용 (USD),리드당_비용
2026-03-25,2026-03-26,260220_잠재고객_리모델링고민중?_슬라이딩,욕실인테리어_260127_잠재고객,잠재고객_250109,active,USD,클릭 후 7일 또는 조회 후 1일,,,3,1.0,,캠페인 예산 사용,0,0.08,진행 중,-,-,-,3,26.666667,0,,,,0,0.0,,,,
2026-03-25,2026-03-26,260220_잠재고객_욕실을바꾸고_이미지2,욕실인테리어_260127_잠재고객,잠재고객_250109,active,USD,클릭 후 7일 또는 조회 후 1일,1.0,actions:lead,164,1.231707,2.74,캠페인 예산 사용,0,2.74,진행 중,-,-,-,202,13.564356,14,,0.195714,6.930693,17,8.415842,0.161176,,,2.74
2026-03-25,2026-03-26,260220_잠재고객_구축아파트_영상,욕실인테리어_260127_잠재고객,잠재고객_250109,active,USD,클릭 후 7일 또는 조회 후 1일,9.0,actions:lead,1693,1.235086,3.633333,캠페인 예산 사용,0,32.7,진행 중,-,-,-,2091,15.638451,49,,0.667347,2.343376,81,3.873745,0.403704,,,3.6333333333333337
2026-03-25,2026-03-26,260313_잠재고객_구축리모델링_이미지2,욕실인테리어_260127_잠재고객,잠재고객_250313,active,USD,클릭 후 7일 또는 조회 후 1일,,,77,1.12987,,캠페인 예산 사용,0,1.03,진행 중,-,-,-,87,11.83908,5,,0.206,5.747126,6,6.896552,0.171667,,,
